 Shakespeare  Star Wars 4
 487744 e	  18383 e
 356289 t	  13659 t
 334274 o	  11629 o
 312187 a	  11544 a
 272142 i	  10119 i
 269068 s	   9977 s
 262449 n	   9543 r
 257182 h	   9354 n
 253822 r	   8205 h
 181675 l	   6619 l
 159836 d	   5308 d
 137835 u	   4481 u
 118339 m	   3905 c
  99791 y	   3635 g
  96471 w	   3144 m
  92459 c	   3122 p
  86457 f	   2907 f
  73176 g	   2682 w
  64359 b	   2422 y
  61949 p	   2419 b
  40543 v	   2319 k
  38002 k	   1321 v
   5431 x	    424 x
   5028 j	    204 j
   4011 q	    121 z
   1796 z	     72 q
